  60
60  
2.341	 2.600	  -0.592	 
1.576	 2.600	  -1.829	 
2.960	 0.695	  -1.829	 
3.196	 1.423	  -0.592	 
1.958	 1.423	  -2.594	 
1.749	 3.030	  0.592	 
0.366	 3.479	  0.592	 
-0.253	 3.030	  1.829	 
1.986	 2.302	  1.829	 
0.748	 2.302	  2.594	 
0.253	 3.030	  -1.829	 
-0.366	 3.479	  -0.592	 
-1.749	 3.030	  -0.592	 
-1.986	 2.302	  -1.829	 
-0.748	 2.302	  -2.594	 
-1.576	 2.600	  1.829	 
-2.341	 2.600	  0.592	 
-3.196	 1.423	  0.592	 
-2.960	 0.695	  1.829	 
-1.958	 1.423	  2.594	 
-2.803	 1.177	  -1.829	 
-3.422	 0.727	  -0.592	 
-3.422	 -0.727	  -0.592	 
-2.803	 -1.177	  -1.829	 
-2.421	 0.000	  -2.594	 
-2.960	 -0.695	  1.829	 
-3.196	 -1.423	  0.592	 
-2.341	 -2.600	  0.592	 
-1.576	 -2.600	  1.829	 
-1.958	 -1.423	  2.594	 
-1.986	 -2.302	  -1.829	 
-1.749	 -3.030	  -0.592	 
-0.366	 -3.479	  -0.592	 
0.253	 -3.030	  -1.829	 
-0.748	 -2.302	  -2.594	 
-0.253	 -3.030	  1.829	 
0.366	 -3.479	  0.592	 
1.749	 -3.030	  0.592	 
1.986	 -2.302	  1.829	 
0.748	 -2.302	  2.594	 
2.960	 -0.695	  -1.829	 
1.576	 -2.600	  -1.829	 
2.341	 -2.600	  -0.592	 
3.196	 -1.423	  -0.592	 
1.958	 -1.423	  -2.594	 
3.422	 0.727	  0.592	 
2.803	 1.177	  1.829	 
2.803	 -1.177	  1.829	 
3.422	 -0.727	  0.592	 
2.421	 -0.000	  2.594	 
1.001	 0.727	  -3.325	 
-0.382	 1.177	  -3.325	 
-1.238	 0.000	  -3.325	 
-0.382	 -1.177	  -3.325	 
1.001	 -0.727	  -3.325	 
0.382	 1.177	  3.325	 
-1.001	 0.727	  3.325	 
-1.001	 -0.727	  3.325	 
0.382	 -1.177	  3.325	 
1.238	 -0.000	  3.325	 
